city,latitude,longitude,timestamp,timezone,timezone_offset,datetime,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,uvi,visibility,wind_speed,wind_gust,wind_deg,weather_id,weather_name,weather_description,rain_1h,snow_1h
New York,40.7143,-74.006,1751108400,America/New_York,-14400,1751108400,1751102833,1751157073,291.39,291.78,1019,96,290.74,100,0.06,8047.0,0.89,1.34,22,701,Mist,mist,0.0,0
New York,40.7143,-74.006,1751130000,America/New_York,-14400,1751130000,1751102833,1751157073,298.25,298.9,1018,80,294.56,100,8.09,9656.0,2.06,,0,721,Haze,haze,0.0,0
New York,40.7143,-74.006,1751151600,America/New_York,-14400,1751151600,1751102833,1751157073,299.94,302.27,1014,78,295.78,0,0.45,10000.0,2.24,3.13,215,800,Clear,clear sky,0.0,0
New York,40.7143,-74.006,1751000400,America/New_York,-14400,1751000400,1751016409,1751070674,292.43,292.35,1021,74,287.68,100,0.0,10000.0,5.81,8.05,53,804,Clouds,overcast clouds,0.0,0
New York,40.7143,-74.006,1751022000,America/New_York,-14400,1751022000,1751016409,1751070674,291.57,291.53,1023,79,287.86,100,0.52,10000.0,3.6,,60,804,Clouds,overcast clouds,0.0,0
New York,40.7143,-74.006,1751043600,America/New_York,-14400,1751043600,1751016409,1751070674,295.61,295.11,1024,46,283.43,100,9.28,10000.0,3.13,6.26,113,804,Clouds,overcast clouds,0.0,0
New York,40.7143,-74.006,1751065200,America/New_York,-14400,1751065200,1751016409,1751070674,293.01,292.49,1022,55,283.71,100,0.44,10000.0,8.05,10.28,117,804,Clouds,overcast clouds,0.0,0
New York,40.7143,-74.006,1750914000,America/New_York,-14400,1750914000,1750929987,1750984273,302.69,306.46,1015,67,295.91,20,,10000.0,2.57,,40,801,Clouds,few clouds,0.0,0
New York,40.7143,-74.006,1750935600,America/New_York,-14400,1750935600,1750929987,1750984273,299.21,299.21,1017,73,293.99,75,,10000.0,7.72,11.83,40,803,Clouds,broken clouds,0.0,0
New York,40.7143,-74.006,1750957200,America/New_York,-14400,1750957200,1750929987,1750984273,297.22,297.28,1018,61,289.24,100,,10000.0,5.14,8.23,60,804,Clouds,overcast clouds,0.0,0
New York,40.7143,-74.006,1750978800,America/New_York,-14400,1750978800,1750929987,1750984273,293.72,293.5,1019,64,286.68,100,,10000.0,4.63,10.29,90,804,Clouds,overcast clouds,0.0,0
New York,40.7143,-74.006,1750827600,America/New_York,-14400,1750827600,1750843567,1750897870,304.75,307.49,1017,53,294.0,0,,10000.0,1.54,,280,800,Clear,clear sky,0.0,0
New York,40.7143,-74.006,1750849200,America/New_York,-14400,1750849200,1750843567,1750897870,302.47,305.62,1017,65,295.21,0,,10000.0,2.24,4.47,350,800,Clear,clear sky,0.0,0
New York,40.7143,-74.006,1750870800,America/New_York,-14400,1750870800,1750843567,1750897870,309.39,314.3,1016,44,295.19,20,,10000.0,2.68,5.36,350,801,Clouds,few clouds,0.0,0
New York,40.7143,-74.006,1750892400,America/New_York,-14400,1750892400,1750843567,1750897870,306.72,310.94,1015,51,295.19,0,,10000.0,1.79,5.81,333,500,Rain,light rain,0.0,0
Los Angeles,34.0522,-118.2437,1751346000,America/Los_Angeles,-25200,1751346000,1751287491,1751339297,294.22,294.21,1011,70,288.54,0,0.0,10000.0,1.72,1.62,198,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751367600,America/Los_Angeles,-25200,1751367600,1751373916,1751425695,291.44,291.31,1011,76,287.14,0,0.0,10000.0,1.41,1.54,210,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751389200,America/Los_Angeles,-25200,1751389200,1751373916,1751425695,297.54,297.71,1012,64,290.29,1,6.31,10000.0,2.48,1.69,189,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751410800,America/Los_Angeles,-25200,1751410800,1751373916,1751425695,301.5,301.81,1010,48,289.44,0,5.6,10000.0,4.54,3.27,232,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751259600,America/Los_Angeles,-25200,1751259600,1751201068,1751252899,295.33,295.33,1012,66,288.68,0,0.0,10000.0,2.51,2.57,207,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751281200,America/Los_Angeles,-25200,1751281200,1751287491,1751339297,291.44,291.34,1012,77,287.34,0,0.0,10000.0,1.39,1.49,201,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751302800,America/Los_Angeles,-25200,1751302800,1751287491,1751339297,298.03,298.06,1034,57,288.93,0,6.53,10000.0,0.45,0.45,279,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751324400,America/Los_Angeles,-25200,1751324400,1751287491,1751339297,300.23,300.34,1021,45,287.29,0,5.93,10000.0,0.45,2.68,210,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751173200,America/Los_Angeles,-25200,1751173200,1751114645,1751166498,295.02,295.06,1014,69,289.08,0,0.0,10000.0,1.68,2.09,220,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751194800,America/Los_Angeles,-25200,1751194800,1751201068,1751252899,291.99,291.97,1014,78,288.08,0,0.0,10000.0,0.9,1.33,219,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751216400,America/Los_Angeles,-25200,1751216400,1751201068,1751252899,299.12,299.12,1036,59,290.49,0,6.28,10000.0,2.52,1.56,223,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751238000,America/Los_Angeles,-25200,1751238000,1751201068,1751252899,299.95,300.17,1021,46,287.37,0,5.9,10000.0,3.58,0.45,250,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751086800,America/Los_Angeles,-25200,1751086800,1751028224,1751080096,291.55,291.38,1015,74,286.84,0,0.0,10000.0,0.89,0.0,218,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751108400,America/Los_Angeles,-25200,1751108400,1751114645,1751166498,290.32,290.23,1015,82,287.22,0,0.0,10000.0,0.77,0.82,196,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751130000,America/Los_Angeles,-25200,1751130000,1751114645,1751166498,297.94,298.09,1027,62,290.17,0,6.07,10000.0,0.89,1.79,217,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751151600,America/Los_Angeles,-25200,1751151600,1751114645,1751166498,301.88,302.14,1024,47,289.46,0,5.54,10000.0,0.89,2.24,118,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751000400,America/Los_Angeles,-25200,1751000400,1750941804,1750993693,293.66,293.67,1013,73,288.66,0,0.0,10000.0,2.04,1.77,209,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751022000,America/Los_Angeles,-25200,1751022000,1751028224,1751080096,290.42,290.45,1025,86,288.06,1,0.0,10000.0,1.11,0.99,192,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751043600,America/Los_Angeles,-25200,1751043600,1751028224,1751080096,296.73,296.95,1024,69,290.71,12,6.19,10000.0,0.89,2.24,165,801,Clouds,few clouds,0.0,0
Los Angeles,34.0522,-118.2437,1751065200,America/Los_Angeles,-25200,1751065200,1751028224,1751080096,300.43,300.98,1021,52,289.72,0,5.38,10000.0,1.34,2.68,199,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1750914000,America/Los_Angeles,-25200,1750914000,1750855386,1750907288,293.65,293.69,1014,74,288.86,94,,,1.37,1.31,201,804,Clouds,overcast clouds,0.0,0
Los Angeles,34.0522,-118.2437,1750935600,America/Los_Angeles,-25200,1750935600,1750941804,1750993693,289.41,289.44,1014,90,287.77,100,,,1.98,1.88,178,500,Rain,light rain,0.0,0
Los Angeles,34.0522,-118.2437,1750957200,America/Los_Angeles,-25200,1750957200,1750941804,1750993693,295.76,295.88,1014,69,289.79,19,,,3.48,2.82,220,801,Clouds,few clouds,0.0,0
Los Angeles,34.0522,-118.2437,1750978800,America/Los_Angeles,-25200,1750978800,1750941804,1750993693,299.55,299.55,1012,59,290.9,54,,,3.2,3.01,240,803,Clouds,broken clouds,0.0,0
Los Angeles,34.0522,-118.2437,1750827600,America/Los_Angeles,-25200,1750827600,1750768968,1750820881,289.94,289.87,1016,84,287.22,89,,,1.56,1.54,257,804,Clouds,overcast clouds,0.0,0
Los Angeles,34.0522,-118.2437,1750849200,America/Los_Angeles,-25200,1750849200,1750855386,1750907288,288.87,288.77,1015,87,286.71,71,,,0.93,0.9,175,803,Clouds,broken clouds,0.0,0
